,Who,Where,When,What,Why,How,Additional information
73,-1,0.6111111111111112,1,0.6274509803921569,1.0,1.0,1.0
74,1,1.0,1,0.7908496732026143,1.0,1.0,1.0
75,1,1.0,0,0.8627450980392157,0.0,0.0,1.0
76,1,0.6666666666666666,0,1.0,0.0,0.0,0.0
77,1,1.0,0,1.0,0.0,0.0,1.0
78,1,0.5,0,1.0,0.0,0.0,1.0
79,1,1.0,1,0.9375,1.0,1.0,1.0
80,-1,-1.0,-1,0.769423558897243,-1.0,0.565079365079365,0.7831940144478844
81,1,1.0,0,0.0,1.0,1.0,0.0
82,1,0.5714285714285714,0,0.5,0.0,0.0,1.0
83,1,-1.0,0,0.5882352941176471,0.0,1.0,0.0
84,-1,0.3333333333333333,0,0.8157894736842105,1.0,1.0,0.0
85,1,1.0,1,0.3333333333333333,0.0,0.0,1.0
86,1,1.0,0,0.5,0.0,0.0,0.0
87,1,0.0,1,0.0,0.0,0.0,1.0
88,-1,0.5882352941176471,0,0.545751633986928,1.0,1.0,1.0
89,1,0.0,0,0.9375,0.0,1.0,0.0
90,1,0.5714285714285714,0,0.4632034632034632,0.0,0.0,1.0
91,1,1.0,0,0.3333333333333333,0.5333333333333333,-1.0,0.0
92,1,0.0,0,0.7142857142857143,0.0,0.0,1.0
93,-1,0.5454545454545454,0,1.0,0.0,0.0,0.75
94,-1,0.625,0,0.7333333333333334,0.0,1.0,1.0
95,1,0.0,0,1.0,0.0,0.0,0.9444444444444444
96,1,0.0,0,1.0,0.0,0.0,0.0
97,1,1.0,0,0.6386554621848739,0.0,0.0,0.0
98,1,1.0,0,0.7083333333333333,0.0,0.0,0.0
99,1,1.0,0,0.6111111111111112,0.0,0.0,1.0
